district_class,land_price_per_m2,soil_complexity,site_accessibility,land_area_m2,house_area_m2,design_complexity,materials_class,planned_duration_days,planned_budget,crew_experience_years,crew_efficiency_score,crew_current_load,supplier_reliability_score,delivery_distance_km,weather_season,material_price_index,mortgage_rate,market_demand_index,client_type,labor_cost_index,delay_days,actual_cost,actual_margin,budget_overrun,final_profit
econom,4314,2,2,807,143.27446585303392,5,econom,135,9462376.634121358,4,0.9024129388235549,2,0.8962201995491199,49,winter,0.9079242338435045,8.849788680201115,0.8833333456825485,private,1.0679157809734052,23.810997093404872,9113812.483810099,0.03683685016873416,1,348564.15031125955
premium,21475,2,3,532,95.66198275995686,1,econom,67,15301179.310398273,2,0.808764257822692,3,0.9557038682925394,23,winter,0.9109970682769531,9.273052162326733,1.1591801514840796,private,0.9143431563440646,29.56632343501505,14248948.691657547,0.06876794248307766,0,1052230.6187407263
standard,9677,4,4,505,125.09324509082495,3,standard,105,11291547.254541248,7,0.9733275448749873,0,0.9044600535219076,25,autumn,0.9206262351206266,9.292353769230068,0.9838205812059303,private,0.9141257140645818,40.51523285451055,10189519.311920693,0.09759760268260313,1,1102027.942620555
econom,3260,2,2,570,124.52851371733203,3,standard,104,8234625.685866602,4,0.8855802250696448,3,0.8630715631740119,16,autumn,1.0648882787196896,10.546168655744145,1.0403137633499342,private,1.0386437618800402,12.284031972929421,9247777.589339305,-0.12303557467239995,1,-1013151.903472703
econom,4813,5,5,649,142.36403814708618,4,standard,125,10441838.90735431,6,0.9415199721184582,2,0.9461595343431203,48,spring,1.0221256233165736,7.623459460243175,1.0505993571330952,private,1.1295850761914474,26.941160081265163,11457285.768436173,-0.09724789570988991,1,-1015446.8610818628
econom,4894,3,1,943,105.01856357822453,4,econom,103,9015784.543128982,8,0.9781884334928272,0,0.9109612608540166,27,spring,1.0179409018506835,9.30781875206252,0.8329065825456434,commercial,1.0558184339894876,28.88323375890027,9533574.184530705,-0.057431456899259596,1,-517789.641401723
econom,4228,1,3,661,210.78143462245401,5,econom,176,11475965.384898162,6,0.9764777051810266,2,0.9095228015808076,32,spring,0.9426664187533207,8.269755687415827,0.9415935589312275,private,1.1765760174965405,27.161557514820938,11941225.598171547,-0.04054214156881707,1,-465260.21327338554
standard,10792,5,1,893,140.6467516663767,3,standard,114,16819593.583318837,4,0.9052409822273959,0,0.8785614651201553,16,autumn,0.9153112150601886,9.222530607282804,0.9435172069958692,commercial,1.0910950882940813,36.7606764226107,16518321.166715117,0.01791199145873017,1,301272.4166037198
econom,3686,5,5,643,123.31903386732883,5,econom,123,7552859.354693153,6,0.8620017942709735,1,0.8369937783927398,6,summer,1.059223568464444,7.865235744285227,1.0866899686990772,private,0.9025489596255852,49.78124958273165,8111170.820570577,-0.07392054315568627,1,-558311.465877424
econom,3949,5,1,850,188.48433717810065,3,premium,143,15758131.916576542,1,0.7902755181612843,0,0.9121672480226015,34,autumn,1.065680862903328,8.177316664980935,1.070891792499507,commercial,1.0342356089845621,50.49966251318952,18454300.880583234,-0.1710969915901323,1,-2696168.964006692
standard,8434,5,3,689,258.11994948450774,1,econom,164,16185823.97938031,6,0.9313161616678344,2,0.9183812364414554,16,autumn,0.9502704084101512,9.764221205076165,1.1955692209663134,commercial,1.0655880082289502,33.57209847675552,16152447.408311421,0.0020620866204530655,1,33376.57106888853
econom,4915,1,1,662,129.78820362118452,4,econom,117,8645258.144847382,10,1.0,0,0.8641506720182844,43,autumn,1.0651910163996658,8.506396428180778,1.0924224500923139,private,0.9049381174040114,35.57471551053968,9225852.065162923,-0.06715749958971187,1,-580593.9203155413
econom,3820,4,3,713,137.74229079386365,5,econom,132,8483351.631754547,8,0.8937555466722271,0,0.9077957652660492,43,autumn,0.9625903332734064,7.798030023544318,0.8890904540946044,private,0.9320075446793076,32.363600873534544,8275669.285545993,0.024481166786858903,0,207682.3462085547
econom,3467,2,1,484,113.0853225180608,2,standard,87,7432294.12590304,4,0.8303808929964185,2,0.9467388046307573,22,winter,1.0623947857238116,10.098134263926084,0.93829569379547,private,1.199574920157169,30.67100042373317,9093496.884631967,-0.22351143948129035,0,-1661202.758728927
econom,4438,5,1,814,183.1014217798108,3,econom,139,11086588.871192433,9,1.0,0,0.8491874437625546,28,autumn,0.913735077797193,11.1823328047949,0.8668229649614264,commercial,1.1026704164994985,27.36750170004899,10835921.710850712,0.02260994461452959,0,250667.16034172103
standard,10164,2,3,728,197.76858027563313,1,econom,128,15360135.211025324,6,1.0,1,0.9211124610829883,16,winter,0.9689459052847814,11.106991873199108,1.1448027894198671,private,1.1026960727643393,22.580267114242087,15830899.70142565,-0.030648460051472485,0,-470764.4904003255
econom,4495,2,1,444,147.68109865231483,2,standard,108,9479834.932615742,6,0.8372865959766013,3,0.8949977132194467,22,autumn,1.0540827807335893,11.17051144818118,1.1383535119312715,commercial,1.0709074852174587,17.028861272808857,10763206.485563142,-0.1353791033356404,1,-1283371.5529474001
standard,9175,5,2,732,128.08164211945137,1,premium,86,15091406.73776434,4,0.8929092170132876,3,0.9479938069307294,10,summer,0.9577547761999591,7.086150225463864,1.1654351952850317,commercial,1.1688121943386751,36.00455054249282,16031044.054812716,-0.06226307019457985,0,-939637.3170483764
standard,7781,4,4,864,176.6980110779495,1,premium,116,18258154.72006672,8,0.9623940695193511,1,0.9538608014977028,12,summer,0.9080592374510588,10.430507346996631,1.0639019064883957,commercial,0.986548614092199,26.831431566418015,16761750.94992332,0.08195810546499362,1,1496403.770143399
econom,4184,2,2,599,186.9835016531411,3,econom,142,10135556.066125646,5,0.9505704004182007,1,0.9030824279795663,19,winter,0.9300683686697218,11.993936741518995,0.907545250359905,private,1.1559311710312028,14.524966078463724,10185706.3820777,-0.004947959009339626,0,-50150.31595205329
standard,8263,3,4,600,227.7021233434291,1,standard,146,16392906.167171454,1,0.8448184878089788,3,0.8998719231093326,48,spring,1.0923372853457494,10.632333399427715,1.1586712727554693,private,0.9290089789324419,33.091715680903,18510638.354548175,-0.12918589088356436,1,-2117732.187376721
econom,4969,2,2,728,120.87333892358737,5,econom,122,8702365.556943495,7,0.9814549668741771,1,0.8888141772798358,11,spring,1.0200482459788487,8.329137293738302,0.9090827596460976,private,1.1924664959038378,23.27773979763908,9736290.615735924,-0.1188096560673063,1,-1033925.058792429
econom,3211,5,4,639,192.61678415371324,2,econom,135,9856500.366148531,8,0.8459583506305817,0,0.8470820125468319,33,spring,0.9353916894668928,9.82001896725469,0.9536309014967855,commercial,1.145265521915531,43.6365284426873,10213443.001453169,-0.036213932130569594,1,-356942.63530463725
premium,23699,1,1,982,155.28909928252833,1,standard,103,31086872.964126416,6,0.9196432282084747,3,0.9196901471681254,29,spring,1.0295387982891893,9.390285495406204,0.8087489768238155,private,0.9007205325215978,26.931230378021223,31655322.758893743,-0.018285846743842857,1,-568449.7947673276
premium,21159,2,3,758,80.0,1,econom,58,19288522.0,7,0.8946912276893969,3,0.9030566824387865,17,spring,1.0246624778784006,9.295106009925885,1.0312006634890496,commercial,0.9178955597500615,36.543896193065905,19884784.971912708,-0.03091283883299654,1,-596262.9719127081
standard,11617,4,3,759,226.11023160609048,4,standard,175,20322814.580304526,7,0.8959711555009785,3,0.8622269590733255,36,spring,0.98156005255796,10.613245783603212,0.974227894503587,commercial,0.9254416526859806,46.58090541370647,20383523.60770202,-0.0029872352157525356,1,-60709.02739749476
econom,3883,3,5,777,164.87401718135828,4,premium,138,13933902.116788289,4,0.8186976434217804,1,0.8016762872245068,16,autumn,1.033355824897743,7.634327599926622,1.0591598768828714,private,1.105130687964767,51.64399766010652,15982822.657431947,-0.14704571077580722,1,-2048920.5406436585
econom,3331,3,4,784,180.34020292113212,5,econom,158,10075112.116845284,4,0.8914189489873453,0,0.9275301757327095,29,winter,0.9223617423281899,7.596798358045715,1.1871774830583113,private,1.105337380208718,35.161102371731964,10013151.98975298,0.006149820108573109,1,61960.12709230371
standard,6550,1,5,864,197.31587582813597,4,econom,158,13751835.03312544,1,0.836671672290309,3,0.8821955523853018,23,autumn,0.9642828413631955,9.53233794188161,0.8229127077538791,commercial,0.9243690772642099,36.95765405415131,13740089.35344009,0.0008541172619550407,1,11745.679685350507
econom,4624,1,5,621,179.8028104523052,1,standard,117,11911644.522615261,2,0.8715472023236467,1,0.9342126164496207,46,summer,0.9075166017285449,11.869734482054838,0.8365926870956316,private,1.0344992898768348,35.04668782007512,11689234.697185863,0.018671630521472898,0,222409.82542939857
econom,3941,2,4,764,101.65037150725978,1,standard,70,8143442.575362989,3,0.8398463436657924,3,0.8318217669119969,20,winter,1.0828926558314607,7.307688723047289,1.0256477064328784,private,0.9712978632739218,41.03095956933074,9307088.554827897,-0.1428936188468228,1,-1163645.9794649081
econom,3255,5,3,471,183.73393704168367,2,premium,130,13575810.90770944,5,0.9692070560496352,1,0.9035863242863946,16,winter,1.0785972075832058,8.852700852192763,1.199157485282142,private,1.0197075931321864,24.405203253642732,15051028.611546034,-0.10866516290373832,1,-1475217.7038365938
econom,3991,4,4,639,174.83152793500747,4,premium,144,14114298.315775486,10,0.953397522067867,2,0.898412812401648,39,summer,0.9407908415993994,9.54420805048339,0.9151981807613532,private,0.9717838895942579,18.803364475606514,13552875.28772489,0.039776899672234925,0,561423.0280505959
premium,15727,3,1,903,80.0,3,standard,78,18351481.0,9,0.9083712413823315,0,0.88951118306689,40,spring,1.0415310685637418,7.006272422066655,1.0145796791812085,private,1.024788019049916,26.6913235562472,19995780.39253003,-0.08960036481687944,0,-1644299.3925300315
econom,3879,1,5,813,233.3018623448774,4,econom,179,12685701.493795097,5,0.91093980480687,3,0.9790226121352122,28,spring,1.0626122684872978,8.473386272622468,0.8814850191143714,private,1.092686043914329,25.277915840512964,14433338.36711007,-0.13776430685916638,0,-1747636.873314973
standard,8862,4,5,526,131.13377420649107,1,standard,88,11268100.710324554,6,0.8857748499962977,0,0.9080456853716714,37,summer,0.9814409160297685,7.554205806958754,1.011893758408651,private,0.9461534218593716,35.88624562179104,11296123.92448421,-0.0024869509849144017,1,-28023.214159656316
econom,4195,5,4,886,199.77838068066674,2,econom,139,11807905.22722667,7,0.9665899039017338,3,0.8134563400692958,40,autumn,1.0633885865826098,10.527714892752966,0.873347824671604,private,0.9654949869699199,49.18349932066511,13131814.799905084,-0.11212061303013698,1,-1323909.5726784132
standard,6648,3,5,996,133.1999858952465,4,premium,119,15479407.083191022,4,0.8471128779509454,0,0.879963392312511,8,autumn,0.9984790132105127,9.19515358751789,0.8708476018138616,private,1.007176434078518,28.622003122744204,16247902.140840238,-0.04964628512701362,0,-768495.0576492157
standard,11095,3,3,926,123.33942732330915,2,econom,94,15307547.092932366,8,0.93105376092008,2,0.8193282179573566,39,winter,1.0594410172766746,10.113247643291201,0.9354738642120938,private,1.193953629828773,24.199738041677765,18015510.251895286,-0.17690379409077314,1,-2707963.1589629203
econom,4521,5,5,647,146.053904593573,4,standard,127,10427782.22967865,6,0.8869922454437599,0,0.9707676850899716,12,autumn,1.0514701181505008,10.012091023112522,1.17584766108469,commercial,1.0908676979102987,23.985731572654377,12034113.690706693,-0.15404344141904325,1,-1606331.4610280432
premium,21614,3,4,881,256.086227779698,5,econom,203,29535383.11118792,1,0.7834003626892464,2,0.912313961719435,12,autumn,1.012381580666325,8.788798424401929,1.0637777672796975,private,1.1746486641940386,31.382896930190988,33862730.41916833,-0.14651400632555953,0,-4327347.307980411
standard,8737,5,3,711,250.64716898824875,1,standard,160,18794365.449412435,6,0.9199031298038736,3,0.8920004536255337,11,autumn,1.0014716037884264,7.177141413014918,0.9486691436554617,private,1.1568589813649004,48.97719693536253,20612702.110021718,-0.09674903180442992,0,-1818336.6606092826
premium,22135,3,3,843,123.27335026630638,1,standard,83,24873472.51331532,2,0.8519585937331959,0,0.8294659429838656,44,summer,0.9585558091134193,8.338557039112855,1.055469342424292,private,1.0676449546816724,40.61487862661722,26070471.90341406,-0.048123533594191935,0,-1196999.3900987394
standard,7009,2,5,682,212.3671067332301,3,standard,157,15548493.336661505,4,0.8433083563468752,1,0.9086402474507952,29,winter,0.9822852943236353,9.405780830201147,0.8797991525576843,private,0.9827898031501805,18.456977065123333,16053359.041823288,-0.03247039402662703,0,-504865.70516178384
standard,7550,5,4,401,151.16836502927978,1,standard,100,10635968.251463989,4,0.8214676878873148,3,0.9524482658759355,39,summer,0.9783484396271158,8.0134172353955,1.0549869913720382,private,0.9772494399640261,19.32058967853937,10918446.005813934,-0.026558724854322823,0,-282477.7543499451
premium,23995,4,5,473,250.9157452152942,3,standard,180,24045422.26076471,10,1.0,2,0.9295765925595513,19,autumn,0.9206520504768814,11.688421815626729,1.1681001013694952,private,1.0707202570814418,25.190758468223542,23152355.707562964,0.03714081389450069,0,893066.5532017462
econom,3830,2,1,463,207.64354774447858,1,econom,134,10129031.909779143,10,1.0,2,0.9276091914333219,22,summer,1.0048155387907074,9.068086676684805,1.1747767807702316,private,1.067121430588901,27.714765941272212,10536300.653302722,-0.04020806204888926,1,-407268.7435235791
econom,4348,4,1,746,163.95277237304063,4,premium,138,14100538.204247642,5,0.9357316377014414,2,0.9717108057397832,15,winter,1.016062921007011,8.760984097232669,1.0345917403302363,commercial,1.0678945915765785,42.237952098389975,15232659.846475327,-0.0802892503696522,0,-1132121.642227685
econom,3213,3,3,723,154.06910276131165,4,premium,132,12537490.679485258,10,0.9478321684131398,3,0.9764200498536492,34,spring,1.093801927432931,7.537756613969056,1.1518391522544762,private,1.0100544678228487,13.681587778764861,13985329.47831744,-0.11548074777046412,1,-1447838.7988321818
econom,4231,4,5,638,180.4194801084209,5,econom,158,10166157.204336837,2,0.7986599449907434,3,0.9054069896130015,33,winter,0.9565766473339254,8.38071575323859,0.9549235952756476,commercial,1.112298559009363,48.46942092128325,11284927.841428703,-0.11004852813161331,1,-1118770.6370918658
econom,3168,2,1,796,174.17533633406555,4,premium,144,14043124.86171426,6,0.9611620525292267,0,0.9294265123385227,27,autumn,0.9798917279398413,9.89261891956533,1.154233950577394,private,1.0224535185623007,20.850234781184504,14232246.839042187,-0.01346722892449165,0,-189121.97732792608
econom,4353,5,2,736,94.86821594611584,2,premium,76,9470242.03649753,3,0.9048023591147194,1,0.9856821141939894,38,autumn,1.0103751652549469,11.09814412469384,0.9336674151501045,commercial,1.0053772276986868,42.68196804529246,9951108.102011587,-0.05077653386902255,1,-480866.0655140579
standard,11073,1,1,740,160.390669544289,4,standard,136,16413553.477214452,9,0.9595446037470251,2,0.8497861729448991,23,winter,1.0706070210265424,10.8671377439744,1.0812552812969423,private,1.051606897267879,29.299465135701265,18473640.22134065,-0.12551131886133257,1,-2060086.744126197
econom,4328,4,5,678,117.41594037546145,3,econom,100,7781021.615018458,6,0.8723693393556939,2,0.9238997309523029,20,spring,0.9515928679522735,10.42548318534641,1.1675645047024108,commercial,1.1684480916425977,31.53706998889251,8307306.331274326,-0.0676369688062638,1,-526284.7162558679
econom,3145,1,5,752,123.51530821075163,5,standard,124,8790805.410537582,3,0.8249248415416347,0,0.8488951184532569,10,spring,0.9468617136598464,11.662406309926238,1.0260044089429026,private,1.1118585487882537,35.782757432046935,9494125.367153693,-0.08000631611900293,0,-703319.9566161111
standard,11894,4,1,862,205.72760976596146,2,econom,143,18581732.39063846,3,0.8117254783233557,0,0.8813145551449055,45,spring,1.0063765684466426,8.215123868224481,0.9098335446269571,private,1.1442175144208748,46.026204746809455,20928553.819823228,-0.12629723536257068,1,-2346821.4291847683
econom,3515,4,5,861,160.18743890764821,2,standard,116,11135786.94538241,5,0.939896119940346,1,0.9669044391612189,19,winter,0.9257129966556951,8.173737425529065,1.0791737369336745,commercial,1.0603247168134824,25.90005775807229,10771264.134526929,0.03273435569873538,1,364522.8108554818
standard,9161,5,5,692,127.27399226828985,1,standard,86,12753111.613414492,6,0.9556450273796914,2,0.8578085657979112,13,autumn,1.0392854494838686,7.2332483919759,0.8451042770424788,private,1.0631743429879303,25.242737553281355,13853976.370024284,-0.0863212673095275,0,-1100864.756609792
econom,3452,3,2,806,89.40652708699167,3,premium,83,8743736.260654459,4,0.8840652429975009,3,0.9545222254512951,33,autumn,1.0719571741399818,10.518300627369483,0.9383014366656748,private,1.1580546561632081,32.7480657821286,10402533.37684223,-0.1897126201818458,1,-1658797.1161877718
premium,19155,2,3,561,111.19769187008009,4,standard,106,16505839.593504004,5,0.8661093009452825,3,0.8696354456143951,46,autumn,0.9059009677955566,11.005574943667776,1.1583517291829053,private,0.943810806472906,27.872011461197673,15234696.26806427,0.07701173383146183,0,1271143.3254397344
standard,6527,2,5,902,147.02786714227054,4,econom,128,11968468.685690822,3,0.8159422962573485,3,0.9549680018320834,6,summer,0.9389943502169379,8.29835011927573,1.0948043452053449,private,1.1885070339983674,27.663563014061946,12903655.02331562,-0.07813750966678645,0,-935186.3376247976
econom,4250,2,4,847,234.2929615668466,1,standard,150,15364398.07834233,10,0.9692188567241916,2,0.9731668260989952,37,autumn,1.0158237151150908,10.953471717446641,0.8218579772740859,private,1.0560902253248852,21.88600579066434,16136838.883489285,-0.05027471959580299,1,-772440.805146955
econom,4023,3,3,854,97.54619126060604,4,econom,98,7537489.650424242,4,0.8355695395232722,3,0.8546778674265834,42,spring,1.0655582069318057,10.544883618291209,1.0295128582595652,private,0.9977288143026996,23.207944372012868,8407635.043928675,-0.11544233343729472,0,-870145.3935044333
standard,11660,1,3,664,164.7382145987687,2,econom,118,14431768.583950749,8,0.9713306180316951,2,0.9318970961643311,27,summer,0.9980150153148069,9.70492565441201,0.8992845724979979,private,0.9944084326320056,21.982577317633424,14592180.871687254,-0.011115220342078949,1,-160412.28773650527
standard,9734,2,4,531,170.35596502170793,4,econom,142,12182992.600868318,8,0.9981185158859415,3,0.9554763636345641,17,winter,1.056870546362211,9.767358182588547,0.8054106845170341,private,0.9126076406207154,30.818892991338984,12608647.739127725,-0.034938471375995865,0,-425655.13825940713
standard,11198,1,1,519,211.13196259644843,4,econom,166,14457040.503857939,1,0.8596947220053841,2,0.8783689400071282,24,spring,0.9844501925949953,10.525481631936803,0.9069426697534164,private,0.986531436294454,26.3104163710492,14759394.82884683,-0.020913984774975726,0,-302354.3249888923
standard,6432,3,2,618,156.24388292287833,2,premium,113,14230828.38998709,4,0.8357832978261522,2,0.9284347799393347,11,winter,0.9775069371618906,11.9907804997924,1.1095930219526677,private,1.0283636079065221,36.18010186084372,14885817.507040977,-0.04602607094290742,1,-654989.1170538869
econom,4824,3,5,816,170.39887724592802,3,standard,132,12606327.8622964,2,0.8101133498630514,3,0.8402303220313547,21,autumn,0.9363305715896993,8.595492739732295,0.9609491081069512,private,1.110165901011058,42.683638916752074,13050539.567681681,-0.03523720073264555,0,-444211.7053852808
econom,4176,5,1,904,209.10493723326417,3,standard,155,14380350.861663207,4,0.8523403920999142,3,1.0,25,summer,0.9303187903239712,7.363434734762791,0.9063411490987884,commercial,0.9837197697853038,27.42116541438447,14067449.565457746,0.02175894727573228,1,312901.296205461
econom,4812,2,4,699,111.14681484853004,2,econom,86,7909460.593941202,5,0.9509555077234801,1,0.862751778300336,32,winter,1.049054667663384,10.497743168242629,1.1995687112281455,private,1.0972988997670157,36.53527484791308,8943123.960367693,-0.13068696077938566,0,-1033663.3664264902
standard,6400,5,2,508,189.56027749264166,2,standard,133,12829213.874632083,1,0.7532902929151047,2,0.8855739459982053,34,spring,0.933871920891868,7.144244987885323,1.0307819991901384,private,1.0802078479024289,31.261844753035422,13436725.531819128,-0.04735377109803362,0,-607511.6571870446
standard,8104,2,2,637,80.30154794092881,5,standard,98,9427325.397046441,5,0.8998519559573277,0,0.8933469562370779,27,spring,0.9815479923942488,11.474246194902573,0.8887851335502719,private,1.033992725354442,24.947052925731334,10026941.89462583,-0.06360409472735998,1,-599616.4975793883
econom,4002,3,2,692,153.20969192284187,5,standard,141,10679868.596142095,7,0.8962562975767042,2,0.904084233282465,25,winter,1.0090003121216693,11.863527788268918,0.8811624329342773,commercial,0.9029149692476512,32.820470302148,10899518.579311846,-0.020566730872428125,1,-219649.98316975124
econom,5000,3,4,978,138.1325760897273,4,premium,122,14068617.445832275,5,0.8904248377069371,3,0.9223959570942595,5,autumn,0.9528791481830499,10.632216917042749,0.8413183390732475,private,1.076596721451008,34.76100988546056,14578296.894744825,-0.036228112028416734,0,-509679.44891254976
econom,3185,4,1,586,113.89497664607194,4,standard,108,7761158.832303597,7,0.9746924833514374,2,0.9215796149457427,21,summer,1.0664801433426563,8.715261032118846,1.0446871073480923,commercial,0.9330563858459586,17.166117435702485,8179033.953427548,-0.05384184632128203,1,-417875.1211239509
econom,3397,4,5,435,198.6196604712369,5,standard,169,11658678.023561845,9,0.9638435063677518,2,0.8445020946009167,36,autumn,0.9809534552195844,8.128606227609325,1.15172212315391,private,0.9038873673769592,29.70388885986545,11185155.278426735,0.04061547494305395,0,473522.7451351099
standard,10700,3,2,960,201.42559541674547,4,econom,160,18529023.816669818,8,0.9223328393663811,2,0.8375613556519115,28,autumn,0.9753464955571128,7.55115433395549,1.1439729574371744,commercial,0.929875586857561,29.14756596442324,18025683.53194156,0.027164965068231163,0,503340.28472825885
standard,8835,3,2,655,203.45136976849133,3,econom,152,14074979.790739655,1,0.8573819982446356,2,0.9849162785701142,11,autumn,0.935635430053434,7.029748938028465,1.175957307059761,private,0.957713953733856,19.80768895285144,13537434.48557956,0.038191550762563996,1,537545.3051600959
standard,11906,1,1,834,168.9870325170991,3,premium,131,21063761.11361144,10,1.0,1,0.9578896201812074,39,winter,0.9439595772885845,9.152209402757224,0.8092347302677873,commercial,1.0456717771880115,29.392418806831493,20452655.413759638,0.029012183368188022,1,611105.6998518035
econom,4716,1,2,407,88.37101278108474,1,standard,63,6387962.639054237,10,1.0,0,0.8348828175983363,40,autumn,0.9582559341577017,10.235562256955133,1.0245256418409874,commercial,1.1259961723287366,36.876159530282855,6524606.541038193,-0.021390842386671587,0,-136643.90198395588
econom,4382,5,2,577,133.55123764256317,5,standard,130,9455975.882128159,2,0.8532332158734555,1,0.9198036128207225,18,winter,0.9698658126781409,8.88179607734526,1.1667521593310133,private,1.1831773295370056,32.51096838515616,10255412.982987627,-0.08454305624556518,1,-799437.1008594688
standard,11559,4,4,641,200.29402511618304,3,premium,150,20578430.6325519,6,0.8592610091966435,0,0.9406297593337053,16,spring,1.040259562140687,9.190980747941778,1.160120191714215,commercial,0.985569064352308,32.762764884357054,22289906.53434866,-0.08316843652253382,1,-1711475.9017967582
standard,8513,4,3,440,199.6344254062983,1,standard,129,13777441.270314915,5,0.9652579697607908,0,1.0,43,spring,1.099261069182862,10.426138835980987,0.9083909647372426,private,1.067788042249168,46.828498460404504,16552158.991725752,-0.2013957212352112,1,-2774717.721410837
standard,7773,3,1,756,209.83473913972097,2,standard,145,16468124.95698605,1,0.8100544390919137,0,0.8762575365907327,27,spring,1.0013116544536385,9.045167731469974,1.0007783084315556,private,1.198648682010837,36.85755886013248,19034448.664036013,-0.1558358169951393,1,-2566323.707049964
standard,11649,3,1,512,165.7045515600267,3,econom,129,12742470.062401067,2,0.8821225008337986,3,0.9510792346711961,18,winter,1.0410706433248773,10.867077486264787,0.8383736004728243,private,1.0762365428554876,36.99023319243299,14630611.556999106,-0.14817703987936665,1,-1888141.4945980385
econom,4096,5,1,565,140.90363682351574,1,standard,94,9409421.841175787,3,0.8424940031587272,2,0.9363342770627394,29,winter,0.948741670414681,10.211712901597977,0.9096777671162669,private,1.0769140872189535,35.75250362759988,9717075.653037988,-0.032696356593972895,0,-307653.8118622005
standard,6928,4,4,903,80.0,4,econom,88,9655984.0,10,1.0,1,0.865579476945443,26,summer,1.0894192922370356,10.356995953719784,1.19679282976425,private,0.9488450357726111,36.73438619347622,10928042.026189424,-0.1317377934956628,1,-1272058.026189424
econom,4951,1,4,477,193.13236422226305,1,econom,125,10136921.568890523,5,0.9505407971572198,0,0.8827746990724376,49,autumn,1.062078127565126,10.096554443120482,1.0340397131990586,private,0.993999176248746,19.59040135945104,10936316.139274254,-0.07885969768544084,0,-799394.5703837313
econom,4724,2,5,595,145.04272870572254,3,premium,117,12388557.365871966,7,0.9841220778628308,3,0.8624350480323757,41,winter,1.0370152416390013,7.598584297837837,1.1995001184886303,commercial,0.9570852697236018,36.64022573717131,12879246.89175436,-0.03960828621047903,1,-490689.525882395
econom,4973,5,4,801,87.31110383161496,4,econom,92,7675817.153264599,6,0.9252692167234372,0,0.9180312515173774,33,winter,0.9626785738409278,10.420396106758194,0.8066188369566563,private,1.1778640080257088,31.443336909736626,8147447.404063192,-0.0614436536698903,1,-471630.2507985933
econom,3016,2,1,463,188.13640226873235,4,econom,152,9121864.090749294,3,0.8430241193330398,3,0.8227304221400019,12,autumn,0.9163206161348343,9.96116161965334,1.1885427086524025,private,1.0392477557481863,36.742470151999946,8893229.062730046,0.025064507182376457,0,228635.02801924758
